,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,-0.05081014854677387,0.04439136575373068,7.78943814244659e-05,0.04133874371633369,0.15067952562089382,0.03327640411445786,0.02360353687717232,0.046979177473458575,-0.07370842372666553,-0.018416597120300793,0.04058220999964824,-0.16577243165784808,0.08393084579750162,0.045919286377426774,0.004190528652538506,0.07813479633979949,0.06142038154293067,0.002759762952861934,-0.011072247621096223,0.016400476405557737,-0.012006243573007697,0.039891242540419404,0.02902457731079269,-0.01826353306526085,0.03175278790829831,-0.05056382940439298,-0.23270111036605126,0.2623778690768417,-0.14196489725156575,0.12793150571903017,0.024914743863223163,0.05090657799519819,0.29764463537611674,-0.05924028920896211,0.03723767961688563,0.041864393703385454,0.11196040835112464,-0.02677666743842721,-0.0003271359984322607,-0.23670465337132024,-0.1564246430930246,0.03778226094535884,0.013720346054467692,-0.0005501229412661063,-0.0034476345966990753,0.003982211995032519,-0.0475625255697542,-0.13412159042946087,0.05112352657959444,-0.11593149862825756,0.005588669588658774,0.09815930280441564,-0.23670465337132024,0.29764463537611674
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,-0.0020917714412491215,0.05413350405417338,0.00018040886154310217,0.005068407186450969,0.0011103665800303235,0.01984762167326923,0.006314919242550815,0.008553278564512237,0.0,-0.03565670155176324,0.0015310312686855868,-0.05877397126546089,0.032688087102005096,0.04501250816789009,0.0016376647741027021,0.05413454885697411,0.03468758728562659,0.001058297686977611,-0.008419219405686702,0.010612697126426625,-0.007320154177894584,0.0,0.015247155699080408,-0.00598367663161575,0.005882504279366391,-0.001313709800335315,-0.003128631930238194,0.001433382517507761,-0.06571118861487947,0.019202571758614662,0.025481937708210854,0.04733551266744566,0.0,-0.02392560228052129,0.028690302001001613,0.0263802055854525,0.023211860117666263,-0.0005858222610592052,-9.242248568379303e-05,-0.0004352643241532097,-0.054497193986220105,0.02790112740054864,0.0032717823187172024,-0.0006403704600266936,-0.0034565363566617926,0.0,0.0,0.0,0.03832651147788483,-0.04788022976680374,0.004380466304449243,0.025598284569738738,-0.06571118861487947,0.05413454885697411
shimmerLocaldB_sma3nz_stddevNorm,-0.00030438064626099007,0.06417581486157865,7.125640777260406e-05,0.027576188581780306,0.023423413133528297,0.017682582589505856,0.030573353393772457,0.02780049905764778,-0.24843179217361488,0.0,0.015220039305687437,-0.0022546209841961436,0.04721955445255903,0.012327452838641109,0.0006702991241390013,0.009104118029175884,0.025461543948063613,0.00014452444018761958,-0.005698204390927599,0.01368059034815374,-0.017438002289163736,0.0710554475943706,0.03082640450092292,-0.03944750603174871,0.019777527354237656,-0.052002376204508156,-0.0661655713909132,0.09627036856544662,-0.09475733624362352,0.00876688513828752,0.007041605853446781,0.04065462052701988,0.09402115078041003,-0.20230490755029734,0.023715860463984415,0.01990454437728099,0.07202702293284646,-0.05686365854326467,0.0,-0.01575891339265825,-0.16470797720797734,0.014127166566643765,0.0065710053923655806,-0.0012648661430735507,-0.0046905588035507685,0.0011051046663582316,-0.09627674295478043,-0.11314058598009226,0.018976528258723927,-0.0038781185699588413,-0.0069082729203214345,0.0655660955078677,-0.24843179217361488,0.09627036856544662
mfcc1V_sma3nz_amean,-0.004565709693914811,0.003352026729486223,0.00010435483583630643,0.0,0.012977049829434716,0.0025242686923877956,0.00257869467908454,0.016150372185911414,-0.08481229715860525,-0.008630144432613554,0.006537120572614397,-0.07843183183767326,0.07926320784319074,0.013211404884823091,0.002067612398494776,0.049679992717247975,0.00467748376653607,0.0,-0.0026581942313780096,0.004941635416587602,-9.142914844669222e-05,0.0237221254968168,0.0,-0.006457562332985556,0.0004954849570011585,-0.00995090623888636,0.0,0.01841848136716966,-0.024381754244907818,0.013534860662913659,0.011635114726903564,0.0,0.0038340192043895796,-0.28136808270461855,0.0006549319316203844,0.0,0.032203829956283986,0.0,-5.3855847322919895e-05,-0.05518624037142559,-0.10211100754653579,0.03157165387802918,0.004019806744004562,-3.009931681863304e-05,-0.0035993691415181148,0.0,-0.006294220633889239,0.0,0.015631752065977434,-0.038291430898490984,-0.007062537004745711,0.048754422549587104,-0.28136808270461855,0.07926320784319074
F1amplitudeLogRelF0_sma3nz_amean,-0.037194751305229194,0.07965827903520796,2.907714713269965e-05,0.0289430114513979,0.06279276428597219,0.006295267489711931,0.009307837494971985,0.02203980357575131,-0.17275503034233922,-0.022935112441285245,0.037351856248461164,-0.017375601217853368,0.07794841467546912,0.0551886719860292,0.004037821020664205,0.00962277627020356,0.027834988102553516,0.0010977394062758235,-0.010011912274792202,0.0014398157637038579,-0.025041721586758915,0.012529664900206702,0.035508771052430985,-0.057614781063918825,0.015861772434431827,-0.023050027307829107,-0.1672724816127179,0.036771426702043225,-0.04386642962074686,0.02851002172582272,0.03049467191140288,0.027097334498597612,0.08227797241686133,-0.07124099651348884,0.018778754391560012,0.04262666108087916,0.08660095086334293,-0.0542706365032775,-0.0007571934809588344,-0.42241450060380137,-0.05983479984680268,0.026312639317558225,0.011584327033371236,-0.00046984969113386617,-0.00819784371043063,0.0030702875788345984,-0.12676529071306505,-0.04143677895606913,0.013303471281240572,-0.09232687114197506,-0.011198315175847667,0.08034601371905618,-0.42241450060380137,0.08660095086334293
