,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
loudnessPeaksPerSec,0.0,0.0,0.006634175717756166,-0.003290415754424373,0.0,-0.04354505915745579,0.0,-0.02495556926474293,-0.12002401807949799,0.007551487843377332,0.005176814702917088,-0.008184035759897835,-0.0254730293486732,0.0,-0.1419817316304192,-0.02873120994148711,-0.04867695543910824,-0.05569922628894405,-0.005744023204696239,-0.004309045278676236,-0.004914342176554817,0.0004497629394839706,7.61871774630953e-06,0.0,-0.06862539783033872,0.009083975836880507,-0.0019417512055264778,-0.047412121370038675,0.0,0.03428188746097627,0.0,-0.02452919900853357,-0.4358827928177938,-0.07859593065238232,0.009487678594101311,0.03855442153340637,0.00022582472632399976,-0.00018237732272202633,0.0,-0.01765438819586285,-0.00546166584277358,0.12961472257698295,0.006136363512674269,-0.019531033509103318,0.0013323148491875773,0.08655225930279818,0.13468031941633532,-0.008436765971330707,0.003926829177787706,0.010469767094926738,-0.014792317220946441,0.07527650088477074,-0.4358827928177938,0.13468031941633532
F1frequency_sma3nz_amean,0.0,-0.0043614177368132175,0.0037520298593315777,-0.15004167008757507,-0.0009814297455181618,-0.03284403320427886,-0.058376689289541206,-0.0910217611736052,-0.1365308969381077,0.02360012971365469,0.00028009105619342226,-0.019073066553143194,-0.0856696491639776,0.0,-0.07821553184918074,-0.01382720452362101,-0.07107994342976985,0.0,0.0,0.0,-0.034472647129016876,0.0026433756509336415,0.0024540214299650885,-0.043878138335705606,-0.0554481488063649,0.0041215213757759585,-0.02871034556837834,-0.02016877947452418,0.007434746568677812,0.0,-0.013926069295818863,-0.005965436585644716,-0.030631627056395872,-0.3054414760037521,0.002874513292952844,0.06317291310705321,0.009576057160404156,-0.0002601203337607238,-0.0021692656476236688,-0.02640997940182627,-0.009447677150821211,0.01812843315184512,0.06611834768343082,-0.02478059364602687,0.0001631707972546592,0.0053914957767328495,0.08241614966928897,-0.004389266484567559,0.031730266890460906,0.005457427783417566,-0.020376163472959726,0.05879822166814576,-0.3054414760037521,0.08241614966928897
equivalentSoundLevel_dBp,0.0,-0.01068071286291022,0.007431139898090748,-0.11833053236939714,-0.004482392034435338,0.0,-0.2589499284482849,-0.048601932130877004,-0.07039877345190824,0.024472480299129146,0.019198405081977545,-0.03307093798779625,-0.05308733703461622,-0.20121408045977002,-0.13415543759562693,-0.07829145687157846,-0.05655737893151086,-0.0726426320344331,-0.006150259776802981,-0.004048383524708563,-0.025383227227575886,0.0023027142771874743,0.005943371782686005,-0.05425420440143692,-0.0038368828670543526,0.02461244516634633,-0.03274436058261147,-0.13725847840851033,0.010383865260114079,0.10736299651743052,-0.007556173253899245,-0.0029509885813442413,-0.3475190155118657,-0.004809358055325805,0.015110046828437715,0.11351789212132571,0.022430327212046193,-0.0007210177141019259,-0.1071306191836459,-0.028448695081094953,-0.04373921724173481,0.03496431329494442,0.0405165311829507,-0.07722200242544573,0.014132513377371186,0.0404763239434576,0.22995817501667945,-0.012300293794766545,0.07705827246486169,0.004250431170929249,-0.024848289298982085,0.0882996889913204,-0.3475190155118657,0.22995817501667945
MeanUnvoicedSegmentLength,-0.00674873448310949,-0.006090429093377078,0.0011358880505779477,-0.06939811051815359,-2.357681755829843e-05,-0.09366109433537345,-0.14192286412405494,-0.04147797761079741,-0.1208250168758369,0.01562450297688713,0.0044221409167761894,-0.007807492550021296,-0.13017486949400753,-0.3338210408684547,-0.1264920218265673,-0.0016346638861851836,-0.028310661078890277,-0.03285158284318234,-0.003221593203174248,-0.003312382563083368,-0.012558724215333423,4.005800738714794e-05,0.0019847710670411463,-0.01935440233049402,-0.03649208029224262,0.008955924057941475,-0.016106899902860346,-0.0397599241171092,0.001655109819089529,0.04672754954827111,-0.048099177753197275,-0.0006255644302484105,-0.025520447168453527,-0.17834154810409314,0.002488295068948104,0.04956947717788321,0.004862928053022762,-1.3176494496595993e-05,-0.010606298844190414,-0.015989411713445752,-0.008229228573716796,0.08102543486216603,0.016346003773994665,-0.008410086458564506,0.012531640831077438,0.0,0.0,-0.020731857271943963,0.023125952690995315,0.0025975001182536326,-0.026310395256438093,0.06539621250813463,-0.3338210408684547,0.08102543486216603
mfcc1V_sma3nz_amean,-0.2734981790971377,-0.019525133416419135,0.0027856047438454224,-0.0041373289545703264,-0.0014511775105245342,-0.08570096730512133,-0.1421293288089908,-0.088377202115414,-0.5383268915309427,0.037900938229592444,0.0,-0.010202369802752949,-0.047217950382069655,-0.021146232439335836,-0.2689666780157304,-0.04051601817659957,-0.045866635293718636,-0.15718139864085207,-0.003968396807405167,-0.003784031106561061,-0.03733238676677376,0.0022477166688059996,0.0019488702370148493,-0.06681790648808973,-0.07059425732317534,0.023480147381082162,-0.006905593567222585,-0.008963550212037269,0.007335963758155669,0.019338295551298394,-0.04523955229175542,-0.0090566378841136,-0.017095200492513722,0.0,0.0034858450404427555,0.042566262114531114,0.012626474286559594,-0.0005114220941133194,-0.2850844113519145,-0.018792265607224853,-0.008378656888574669,0.006917924760816455,0.04660973171019545,-0.03211204238371817,0.0016979000531632067,0.023345805395913147,0.12701429484391805,-0.08278982926209859,0.0217974259749589,0.019486801985205558,-0.04082167258563944,0.10466924274369058,-0.5383268915309427,0.12701429484391805
