,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.06042929537469758,0.05170026824530204,0.05485115860857138,0.13118758222850654,0.0026073082702154416,0.13037068771397467,-0.16125132487863675,-0.018464864730023144,0.06131825156397368,0.04566283794045279,0.1183366158817568,0.055865803785960046,0.14004429519954684,0.11511561478847503,-0.008498140377931503,0.034742948903699396,0.06123097471488214,0.01774222061980535,0.13428088550911493,0.09713820928080134,0.0070076226792607195,0.0905133918396787,0.06862916391751413,-0.07737003094510751,0.010595788949816047,0.054865635909282714,-0.049258643349978114,0.007362256791148041,0.16808732177418736,0.11562054131760725,0.049652293279009316,0.1897686470972465,0.06817515784936264,0.009704578655757704,0.03592727673053302,0.16912910840193535,0.15305790848221007,0.007326153398514816,-0.07367325045026345,0.05325260202940193,-0.018223110639549955,0.10253183205072779,0.16611094615926772,-0.07338575847777433,0.06744599829714772,0.1160047341228375,0.2806199844742953,0.14343135145552185,0.07154415417676505,0.17035495245663687,0.06418438474152274,0.0798576395352263,-0.16125132487863675,0.2806199844742953
mfcc1V_sma3nz_amean,0.0523389501208785,0.02200599218454639,0.042517033591809014,0.061884130531735866,0.0011880738811728313,0.09282322731806272,-0.05322086975107174,-0.019316624372723034,0.03788540633555837,0.032370246668655976,0.051723712766086505,0.024885502981795316,0.0369697306521702,0.05947100025319238,-0.00565274979881432,0.020398528437388264,0.023972777078245765,0.01300252910860847,0.06971544703639329,0.04723747000507323,0.003612551275568674,0.06260739346455703,0.02538981201942039,-0.06313770877100802,0.00840120792385845,0.02916348736241791,-0.027337924820428707,0.0050807033070810565,0.10116306961813015,0.057301602847716335,0.034347177308583665,0.10021235465342358,0.030223018507708036,0.005137988855181445,0.027360520168740198,0.08711670549863329,0.07645825557460428,0.003646913578347313,-0.06410268564105143,0.03663438057086457,-0.012255841336673554,0.057489657610549194,0.08951199522796066,-0.031408025524074616,0.044077128565346936,0.09584360456819144,0.12212246425791944,0.0958747325319782,0.07380163806698833,0.06445944714203222,0.035019902788826614,0.04270960968169838,-0.06410268564105143,0.12212246425791944
MeanUnvoicedSegmentLength,0.022602084720539366,0.011960223879682656,0.017811855207453348,0.04723937301080502,0.0011810830776098505,0.03421186047527043,-0.02026562831219661,-0.0062384644228223336,0.015209997544641474,0.01231948483237029,0.012430274019552505,0.016501198941489686,0.01733144079297167,0.046363965454064786,-0.004539070084881951,0.012601938839661705,0.0046409968879252955,0.005291084465040198,0.04669383692047,0.014276329562773696,0.0018666256214391623,0.025060360923195475,0.015731472919280835,-0.022976537327916297,0.0029775644575071036,0.014886140337689433,-0.005339645597611772,0.0032513244056957985,0.03769219927976567,0.028142477026064806,0.035766348763385324,0.05361563107251746,0.014692879338628105,0.002626850460125909,0.015769714538264736,0.049941249869105725,0.06697043326240376,0.0021509846983207704,-0.011552442979131388,0.01518566166125114,-0.00304860883646696,0.039301534512687294,0.0428379014314199,-0.019147827125478127,0.025999362397925614,0.045742395821239214,0.05353500213339055,0.0473420276894287,0.02417156564663238,0.03649894437019594,0.018946309131667546,0.021051861913342743,-0.022976537327916297,0.06697043326240376
F1frequency_sma3nz_amean,0.025920716138787606,0.008565018368668515,0.010731054883867972,0.04412859816233859,0.000618709017726215,0.05063795902711454,-0.014507070691144304,-0.01047098312141191,0.02191418576208314,0.010793410036945098,0.014642673696012123,0.014480506851094192,0.019081970794068304,0.026973013217516054,-0.0014444648747557695,0.010327069928596555,0.007890911036276933,0.005501926287647942,0.047224620057959674,0.007364623253683254,0.001332243688060553,0.015882291954349686,0.013226589004225013,-0.03469737711310744,0.0036827736502230476,0.007024693663541085,-0.0020817810965068906,0.003693364405661638,0.039049060557011156,0.029063551881879843,0.020233808121659293,0.036677009693667786,0.027028517493049405,0.0036828148160382044,0.010632382658750852,0.03050483220809011,0.05772420301978985,0.002518447838165056,-0.023527637289283008,0.01071047538495453,-0.004770620592585131,0.02938714777330846,0.030711266841670814,-0.02272755545814505,0.02768308467819964,0.031648332129968246,0.06380025374392821,0.037796671056407556,0.026338878986051098,0.03781953016932012,0.01620843403402837,0.02026048025186087,-0.03469737711310744,0.06380025374392821
loudnessPeaksPerSec,0.007679448974468113,0.007607451365480287,0.0073775362501965385,0.018000647818727327,0.000406772414975637,0.021824489040223535,-0.015766975527630206,-0.0018165997751251424,0.005329578495031018,0.0066558810227165316,0.017874687951342186,0.002394867767387489,0.01818314139221086,0.01067363195938815,-0.0009995295360469658,0.004868994381378278,0.008100741066319304,0.0028755764576690857,0.024123910910756524,0.014902522116994289,0.0002304174967791046,0.012185407734528128,0.010182632515717762,-0.006278560466507345,0.004488492642784367,0.013538166980948108,-0.014194725972007417,0.0007333509764216547,0.018394367847214838,0.018593890589840675,0.009452515965377134,0.018388722497436755,0.013752762695055926,0.0012603285941243728,0.00824952260445376,0.0200705335518932,0.009503686296481914,0.0006003109783589166,-0.008651058703695962,0.01138519024473693,-0.003633192889673119,0.00864786827671283,0.03351963976553243,0.0,0.0024774362397925634,0.012557538537917487,0.04061817550342935,0.021925298839901523,0.011250819335955443,0.012876393132239837,0.00884845412716428,0.010599818539240708,-0.015766975527630206,0.04061817550342935
