,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.1696838636743343,0.12587746998225666,0.09096458894491101,0.22153181500567154,0.11795671595786476,0.1627655203150163,-0.0947662295205086,0.013876264219401382,0.0767062200668421,0.08066753743837961,0.13537769438679845,0.15315419310096018,0.2663501738101827,0.23683008904498384,0.03028096275725151,0.1854074499902545,0.14854666478279424,0.1064107747340274,0.262312586113131,0.17916381236498652,0.09646318283164464,0.17800556629353814,0.036422348149222177,-0.015848507434947756,0.028836123310481104,0.0775096433504927,0.0007690952497063825,0.013894259362103442,0.18896470350504854,0.22615564966307308,0.13647446262278318,0.27382469891611083,0.2254967396274135,0.02803544091340083,0.01667066204135177,0.24540631091182058,0.307196266055343,0.14135048364426855,-0.03937417160004705,0.12216435077413322,0.05906160163127763,0.15674787239652455,0.2900003669316348,-0.0194705946785472,0.18062411587135718,0.17573448451776566,0.38203478469789504,0.23389462314928985,0.1342872588069964,0.2871665421111322,0.13675193061583615,0.10173799044553491,-0.0947662295205086,0.38203478469789504
mfcc1V_sma3nz_amean,0.07539136945587557,0.027441938553264943,0.04515299947078813,0.08479855714541416,0.053655776921210166,0.08545235865722861,-0.027325878765387872,0.012163302132664793,0.023548275106150575,0.03829440303462529,0.026964521553283882,0.06754004297905156,0.027797480301746592,0.12763726931673056,0.009422264771630351,0.06794647953524915,0.03288919663497575,0.04377013758510173,0.0801613652136141,0.05080258123522858,0.01405814672714995,0.09740202061353881,0.011040139566854096,-0.011854394069026405,0.021101858778885457,0.03619193015082728,0.00023428140149544957,0.005774439251904166,0.07933506894971709,0.08868093500588707,0.05803848289810825,0.11347070066702324,0.07493307971071336,0.009932628088365782,0.00940535554711804,0.1013437886602306,0.16490188627037794,0.039211881267754566,-0.021121579975214702,0.04490196514768702,0.028442491902561245,0.041159722971916265,0.08082570667805992,-0.007178638811065071,0.06569815551346797,0.10695638006677713,0.08010611253389296,0.06572607753318367,0.12312033955860267,0.07061372900770649,0.05091914264905894,0.04082063496358116,-0.027325878765387872,0.16490188627037794
MeanUnvoicedSegmentLength,0.006986202089519989,0.02268025521287467,0.007297436934204905,0.050144810167792694,0.019709849936143047,0.020553416964981804,-0.011270294493813893,0.0021313014695367506,0.003227473874478742,0.013415939281074585,0.005911028513062925,0.004906115962581481,0.011647800786417653,0.04956009818007663,0.005677210502145287,0.012514838044969567,0.00692187155236392,0.01521675461303598,0.045322296182511226,0.015733009343434894,0.008188668707470217,0.0029576547511761904,0.00367011422035346,-0.0019375206849670693,0.003725586948398089,0.01425074409152705,0.00013440548994571617,0.001673394943233693,0.017134855967884402,0.0334278826240033,0.025397360597298364,0.021415321560530175,0.02766488542055936,0.006787067246994384,0.0043309516412964886,0.034407880195940245,0.055361805476540994,0.004606729814476883,-0.002853054757368268,0.01729470702854623,0.0030563174046996247,0.01162768936480034,0.018053420039653743,-0.003139016893785973,0.022801260013932435,0.02799460936428023,0.042529661561848106,0.014026618349092228,0.018769458005129854,0.029662259521358984,0.015426182662644849,0.01486125672862643,-0.011270294493813893,0.055361805476540994
F1frequency_sma3nz_amean,0.016369135967341974,0.012867688405991432,0.0038489624022117197,0.03239362310099258,0.016897264330797565,0.048605081569151935,-0.0038458903327891966,0.00362646259705081,0.01322432033550337,0.008910520482162499,0.008450491856508896,0.007878887085137082,0.012481629257628914,0.02816059661912872,0.001969424010268644,0.01702960125260502,0.013679245005471942,0.008049605545125264,0.04018446154672109,0.007341424663493472,0.0072941237278938914,0.014426019063730736,0.003963338416953521,-0.004181556039957494,0.0025498764633824357,0.004211192703122163,3.565436273425777e-05,0.0035729710165820147,0.01877254983756542,0.01998407890649268,0.0279928303441639,0.019026831830064178,0.040061867293184616,0.003242410628567274,0.0015758450020902208,0.02050464254034647,0.05808876911250656,0.012452874274731886,-0.005544904549744044,0.011577814363627948,0.007808662390571217,0.0180147048672289,0.018385154438673324,-0.0021484815789996298,0.038274912305526515,0.029749281565216792,0.03256211994043307,0.021846359710683473,0.03120880004899976,0.015779038777377116,0.015384206349285057,0.013921988895457406,-0.005544904549744044,0.05808876911250656
loudnessPeaksPerSec,0.00573119211392745,0.00885936160176929,0.008110390091206409,0.026496568765330738,0.013698978571413884,0.009766340932972324,-0.0028436865624496053,0.0005736540111540078,0.011935851821511263,0.009063389050746893,0.009395823177398755,0.004553312994476791,0.015014781305045388,0.019257634365687552,0.003368567343870949,0.018917267875304036,0.010654242928030824,0.011564200849595118,0.030240296048262123,0.01791293245998601,0.007818844160674817,0.01379948341927484,0.002938962995183094,-0.0019699114253506613,0.010404911456588825,0.0070190499496386935,0.00010764374598973041,0.0008680284966303552,0.013179159810263415,0.02363306433828464,0.016432332441937175,0.03935856911199743,0.04436721067707929,0.002023003307156311,0.0025883661439217117,0.021550488103554668,0.014987039343082834,0.011521894133871429,-0.00233825335673346,0.008568062132332955,0.002399088999273176,0.0110364381870734,0.016610375403918572,-0.0004771871156894012,0.016345999433995125,0.026267494432306363,0.03318733199324184,0.022146547794268,0.029940638621145897,0.01679927067248391,0.012867700943052705,0.010638122801990571,-0.0028436865624496053,0.04436721067707929
