,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.055025234862683334,0.05342041466883574,0.03199111966759713,0.1367302247410246,0.0031881813104658423,0.10218833372822546,-0.12050275716256519,-0.017517936061102888,0.04125832926554601,0.055215012515287994,0.1484027922937568,0.038946821238073706,0.10906260769629567,0.14677514491982407,-0.00993972400663271,0.028445498889210854,0.060637487351896904,0.02051563983855643,0.11340781023660718,0.0923572644016326,0.00328344327500395,0.06140302613480054,0.06528742078158684,-0.04647027689634554,0.008482989474038406,0.06293611507979786,-0.030987073314514366,0.007182932785737468,0.09608065682089267,0.13482629059624396,0.06327242944723771,0.16473561606298423,0.05474563950177631,0.009472182713520553,0.0567418347424188,0.13770693041526366,0.1680583851005345,0.004501920010166127,-0.04947872686418332,0.04667350534771052,-0.013982424234589275,0.08966068534009518,0.17735213696844304,-0.06474653401408219,0.06759097923681258,0.12415677327705718,0.3318344381814701,0.1770891745009889,0.05791138363757948,0.17080793149219875,0.06451474571991728,0.07755320012430789,-0.12050275716256519,0.3318344381814701
mfcc1V_sma3nz_amean,0.08177572058333361,0.01699775460932623,0.05239360333271075,0.0869505046473677,0.001736234833971891,0.10328198289827759,-0.046947893340211586,-0.017199416293926933,0.0456117275970217,0.020243283716079856,0.022397399113645293,0.02669386949703248,0.028743537664349523,0.06912420054633175,-0.0049767813408705085,0.034565262886763884,0.004127635963573469,0.01631364544082952,0.11778547502253811,0.04334937590655516,0.003530914846244822,0.07515078388313749,0.02140800413925012,-0.06562671993925281,0.01388739296309927,0.024163788814422396,-0.043607564659531674,0.005386050990238579,0.28634251760954726,0.02052106694679133,0.056192105255323484,0.08750875456669212,0.05319616571039371,0.004320621013571904,0.01425480529850952,0.09133708160821392,0.10149307423396109,0.003124108552786647,-0.05854376783835102,0.03967793247546967,-0.012459932253588477,0.08515128488471352,0.06807151735283376,-0.0344502488434234,0.053459385521885505,0.06719778801367282,0.09305479823744657,0.07206380282206286,0.07077960565958819,0.04954566557236577,0.03898195813445549,0.05586066678518743,-0.06562671993925281,0.28634251760954726
MeanUnvoicedSegmentLength,0.015737724666737007,0.014654351719694102,0.019614529942747223,0.05459233273023985,0.00104967047669429,0.013126400181843053,-0.056934312702488325,-0.0026610351442374774,0.016843662520405447,0.01424061220893177,0.0103168076542369,0.01430092170009765,0.04891555700229241,0.028120574890024144,-0.004418940482381095,0.010247593290189648,0.0031174747320580503,0.0073690688853659085,0.059989782935851464,0.043838772536352426,0.00264542374575896,0.029230917734501344,0.01586216982965634,-0.01564840530854089,0.004317593245080071,0.0065934009138375604,-0.005381218133078845,0.004008647158074648,0.03783076932486552,0.01657850829526477,0.020365344487710345,0.11675763262994539,0.010170934552954612,0.002130306018597476,0.022093083811949393,0.06665077475982575,0.06610985405440944,0.002242330947110102,-0.0017269459667549837,0.020280855738322338,-0.0024257134632156923,0.03584756268966185,0.09017840354829354,-0.010060408187741399,0.018554643658810332,0.07343989271518432,0.09411643742693973,0.09085937949330014,0.02552263800100518,0.0327523781073829,0.023639174831475294,0.031668577608826,-0.056934312702488325,0.11675763262994539
F1frequency_sma3nz_amean,0.027079465992017385,0.005634129260084274,0.014274974985911232,0.020429250035476087,0.0006783535729638761,0.10686222660135215,-0.04267587414363823,-0.01681129450380211,0.023551755499604088,0.017421298283901595,0.002547507657253845,0.02317567894974077,0.019217512787744577,0.03548136316872428,-0.001180767399806557,0.012559644547474151,0.0210968060360421,0.004099610751156434,0.0,0.012737797970749183,0.0030615202458684765,0.02353555829049929,0.023088878469163323,-0.044130130349835046,0.00019647869098179366,0.004464945631207443,-0.0032443721111096633,0.004108217118259361,0.07636252720267246,0.04675922246987263,0.017775704287198484,0.03236548640591278,0.016511137186351405,0.006475242267356779,0.0009461021736262052,0.09852913437941342,0.08564750129161164,0.0031484532964494052,-0.04736727426647777,0.0009066924412293307,-0.010268112604475991,0.045514409988212344,0.033953164993469245,-0.03384661933862486,0.012119037598204258,0.05306191534172009,0.06115891042831681,0.045756783944661934,0.044605903544757346,0.022083487610906203,0.018189186933606966,0.03162784101620995,-0.04736727426647777,0.10686222660135215
loudnessPeaksPerSec,0.01639324404447857,0.0027724164592998197,0.007821894582851055,0.012917866645381021,0.0004955491463826872,0.005106741291663541,-0.013915796138018362,-0.0006569522150150942,0.017362790320306656,0.016977420472599525,0.007449677290328196,0.004775040145368482,0.013532934081147724,0.003506819923371645,-0.0016513450818014758,0.006634429633922529,0.018792431205625605,0.005569259680482779,0.04483228294132187,0.017229153974608336,0.000568256215352167,0.013769074221546525,0.013442998401335232,-0.011255886940723027,0.0051814357600702314,0.009697892028659673,-0.013516725421518964,0.0013814141841689094,0.0,0.018199450120618712,0.02799548318681451,0.03475298251830848,0.011343814191568841,0.0010365534505319151,0.015759967847460313,0.021586764105703454,0.030383164027594667,0.0010643022143948036,-0.0025071687710513137,0.0078021142417237215,-0.0016215408375382318,0.014470786406386748,0.017055144631895502,0.0,0.0020740740740740715,0.03250782764255123,0.007983526704987878,0.0489906743937368,0.031539978694012545,0.010813031955273332,0.010728904953044875,0.013169009577196689,-0.013915796138018362,0.0489906743937368
