,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.15677746380877258,0.15398034320060727,0.09211808424679828,0.07708810587036379,0.09029358764146089,0.12415659418628763,0.01640878623648608,0.051616981577258726,0.10627512023135019,-0.027423479887001542,0.14120267308117843,0.18362079790747127,0.14380947866652907,0.2102718252801487,-0.013518415853996104,0.09470285198576256,0.14065274272014833,0.05148104235601389,0.1648032084441307,0.18160354041038082,-0.025794647840688686,0.10657796776542956,0.07199002764332021,-0.003493244432025254,0.0264156034149789,0.09053251517574067,0.05142688831578812,0.04237887812917841,0.18642401964618507,0.14698482823741188,0.2035200892037576,0.25495603021025576,0.2557996771439254,0.10321329830801654,0.055772667335828995,0.25857983581926974,0.2521963624333755,0.16092452273988486,-0.02007757169395116,0.10854484181493106,-0.011614625362510697,0.11056385745831862,0.22785758111812318,-0.012005452033541102,0.2714982701962806,0.12204260977897544,0.251480494508894,0.25511009229062304,0.02785549734222624,0.329511171121767,0.12078186835799841,0.09098494755954621,-0.027423479887001542,0.329511171121767
mfcc1V_sma3nz_amean,0.08935350987391162,0.04579531878655839,0.04693848929553535,0.03307265217975233,0.043905185994483474,0.09494392956655574,0.006121592457848234,0.06769191915707407,0.02480836287942912,-0.02257494570803939,0.05319521793795226,0.09014426383361285,0.016868261545768995,0.14660418076167606,-0.006022290022166544,0.035618121025387,0.03667962827110323,0.02355850534756205,0.06263458775891571,0.06894475283286806,-0.003391294167730946,0.07313803945303889,0.03256454171182762,-0.0026961449232009013,0.01930569149929767,0.05402337560464559,0.02402889131136511,0.022971721193261425,0.09774120154138981,0.06778497331274749,0.12153429930010372,0.11109465394784027,0.08070659097950476,0.05461620044555929,0.042194264065766623,0.14444790240787486,0.15874707263318147,0.04461309158684216,-0.0103778037706264,0.055750802190534306,-0.007080739663549991,0.04442482853223591,0.08859121210891928,-0.0059162905003715665,0.09110265435214537,0.10382324393358872,0.10188183117818937,0.15824538944745656,0.034660981127711,0.12501827066695606,0.05763661390564586,0.045706402981898035,-0.02257494570803939,0.15874707263318147
MeanUnvoicedSegmentLength,0.014560629775005158,0.022670786907855605,0.019604763086069725,0.008982988722545469,0.01928103187748333,0.02147948153178872,0.003779340960013336,0.008732961372172223,0.015858578858812825,-0.005703004269202,0.01508311772018056,0.018121839270793496,0.01128560647018852,0.040334007342540064,-0.00198805158399287,0.010721934345961694,0.016965357009662334,0.007632275016498714,0.023914607931357332,0.02255965525390461,-0.002400993330495244,0.020425409796269705,0.007770675390252948,-0.00015440076497949664,0.005636498537227233,0.014819962385585937,0.005239480389278798,0.005709131556482093,0.020604846539463678,0.041247048523028386,0.009436252692957668,0.0402818729740499,0.05106557408666317,0.03327356694969638,0.015038967054777953,0.08569059502350751,0.04775150647084085,0.010867755179796235,-0.0037348671288197624,0.014304124694749695,-0.0017161700206720582,0.010372515615703081,0.051866746908048475,-0.002170491541192327,0.048629673963808524,0.034778151715277386,0.05391227638604854,0.03099417032884325,0.008621365386637889,0.0304660254761528,0.019650103576772562,0.01829255268944194,-0.005703004269202,0.08569059502350751
F1frequency_sma3nz_amean,0.00958581707695016,0.007592687194930065,0.006907527308325377,0.008594187186487117,0.006429602412817507,0.027117178174920136,0.0012325936749656037,0.00546732515135393,0.022414455510371984,-0.0011935969436929733,0.009221819916490528,0.008560625490505843,0.008796512632018996,0.035051355714254925,-0.0006104311771195379,0.006462597228535767,0.012486479507934007,0.0031234168298940428,0.013956178297317665,0.007545864436953771,-0.001957624994087316,0.005796972497231056,0.00959356736500722,-0.0009396474643480647,0.0029322749051645413,0.009627096257369062,0.0072557928732060175,0.011861868947396043,0.012336423860289197,0.024946146434118476,0.031150752229535724,0.018863786016666703,0.04165920018162893,0.007610332038734154,0.005444745799698073,0.03141644753996341,0.043271863911842116,0.009077093091778822,-0.0013368406828629068,0.010842009346473638,-0.0015134371767386696,0.015893813965878214,0.014568972575772502,-0.0018972601520453958,0.05429964737642023,0.027045486397550823,0.03096996940765735,0.02593633186392633,0.004493233453696443,0.027865086600054916,0.013517126001823851,0.012930816677861499,-0.001957624994087316,0.05429964737642023
loudnessPeaksPerSec,0.004620697145963938,0.004853423177068733,0.0024827860628287126,0.0006531198158453136,0.0039026331018518555,0.0026403534937184804,0.0007414462160018957,0.0005885005807733505,0.005887970305897393,-0.0008241984129548635,0.00639387492978684,0.002365586729045373,0.008715192677937706,0.006870404589079126,-0.0007835682569781569,0.0013327507632487816,0.003957457902796949,0.0029211970411762733,0.004560334149354005,0.008229398148969601,-0.0010065394257603706,0.011480112919000019,0.0024445498210941344,-0.00012305492735629055,0.001901216140975366,0.0035549221716690725,0.0012758937580065498,0.0014613786694884219,0.007227059497806016,0.014460099957525906,0.008301617585621411,0.008580592860045796,0.0026614929090983865,0.002611638664036337,0.0006577773210410831,0.01930320275103635,0.01848380106686208,0.009952848473500295,-0.00167862190939488,0.0017670131621024517,-0.00039489011821890234,0.003005250959099182,0.020647847742362186,-0.00010583275323422055,0.00465102591766093,0.01930361803913301,0.03000659822043051,0.015970910995765596,0.0038544927252877875,0.01832960890157003,0.005973899845153311,0.006844971431308804,-0.00167862190939488,0.03000659822043051
