,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
loudnessPeaksPerSec,0.0,0.0,0.003039016468844859,-0.007066931254318192,0.0,-0.02483524686243426,0.0,-0.013460020179569415,-0.07547360892296663,0.008149691588862721,0.0016699326408397524,-0.0071373744925188765,-0.02128648440991745,0.0,-0.10197675691885497,-0.024884011800847462,-0.02024222817354328,-0.0569897874152809,-0.00688166591769685,-0.002893888381416669,-0.003484108324625566,0.00019084877287228825,2.530809005645106e-05,0.0,-0.04337613104550823,0.004802106220207541,-0.0003973689308155246,-0.049642386194243826,0.0,0.03844316545346235,0.0,-0.012251306827472502,-0.24261412633819385,-0.09283567671597849,0.007085879595827584,0.018652235024957442,0.00016634700730561286,-0.00010926445967491519,0.0,-0.01069333872462947,-0.005600216371660774,0.04761524272698677,0.0029690009972369357,-0.020857931225507782,0.00045623328014488494,0.04063568277810178,0.07270595593781788,-0.001739678601654769,0.0065607908520701795,0.006594101387630548,-0.011739359993322101,0.04443855203480755,-0.24261412633819385,0.07270595593781788
F1frequency_sma3nz_amean,-0.00613953156688201,-0.003957812264609636,0.0033952042148580864,-0.0680113960248169,-0.0021785101372924073,-0.022648563031313212,-0.0676896244031221,-0.06195864174977559,-0.06447488740800743,0.019183171873679915,0.000849448450370126,-0.01654528860231133,-0.050662284547234135,0.0,-0.030405937946102572,-0.012355288737979728,-0.058862481999417814,0.0,0.0,0.0,-0.02941542470407417,0.0022890417746111984,0.0011179915130790899,-0.05677272752626008,-0.05101159784685822,0.003682934232314393,-0.029227477261526743,-0.0303341255140101,0.005593238071288304,0.0,-0.004076598526439339,-0.014071647481758577,-0.017383452511665915,-0.30966682798373385,0.002519458409532896,0.05856976237702151,0.008011661266308534,-0.00026904888098803966,0.0,-0.02230188976603581,-0.016314264396476815,0.020002582458740523,0.04868071731460313,-0.030142651685296076,0.0,0.006193713687740557,0.06522787049719234,-0.0008103628238905566,0.04860118622063319,0.0049181396824010725,-0.015577044465670084,0.051566362646232385,-0.30966682798373385,0.06522787049719234
MeanUnvoicedSegmentLength,-0.03724161102781715,-0.006061088870285957,0.0009010558733657713,-0.08954309175861368,-4.809426883780207e-05,-0.06128105007370173,-0.13251943109245626,-0.005258573638795298,-0.22854174822561715,0.013136160729743631,0.005708467607209787,-0.0024817119895336913,-0.1481497562700326,-0.055589510266234404,-0.14947410646606152,0.0,-0.011074130866882612,-0.03842240715669276,-0.003219464585244628,-0.0017415945021554836,-0.004210275510993908,6.822169953648344e-05,0.0010799010319987694,-0.01659645186841307,-0.041555225090319094,0.0058431184600220565,-0.012334878297546547,-0.051481781810583285,0.0019467061739238492,0.029934027144276176,-0.03884357840251578,-0.004295090931073384,-0.02802746299259094,-0.1434770404603142,0.0029753222915776707,0.0340737743292477,0.005045007270784926,-5.203586629195053e-06,-0.027267995480586883,-0.003713782440733459,-0.01172835654828535,0.059683198766234256,0.010071198742827782,-0.010596085504826817,0.0019080198622717184,0.0,0.0,-0.0400488302703922,0.027000445311041576,0.003746341717818946,-0.02403416886485772,0.05295537301109572,-0.22854174822561715,0.059683198766234256
equivalentSoundLevel_dBp,-0.048886486214358996,-0.010367882721946092,0.0037018621010135775,-0.1517979996719914,-0.002891673096707742,0.0,-0.20882222354757662,-0.05544371724132486,-0.10784946130636493,0.035568509031075925,0.021131593057981957,-0.014622008327362978,-0.04161276630897352,-0.28914845105937054,-0.17138173195942047,-0.07874845675386574,-0.02597972673385001,-0.08668084119121941,-0.005107753856810637,-0.001366838129526717,-0.020290976403332737,0.0009216320564215802,0.003647020207489685,-0.05197416129596074,-0.00196241497471079,0.01157111842678132,-0.01632925230521134,-0.09471646022899498,0.009535483914835977,0.05572685828432953,-0.032046100287380704,-0.004404929601034901,-0.5095796174113457,-0.039495363410760716,0.012235182744996903,0.05682393517998366,0.015003265452271425,-0.0003593244390762229,-0.10443585168322228,-0.020855219365183978,-0.037269932893083654,0.08702009084230049,0.015974945086346594,-0.057420795598879595,0.0021187994189341914,0.04569443873710633,0.07420063963696634,-0.022839991256764457,0.038383235439510596,0.005685003862951927,-0.03639489591588631,0.0963078541487523,-0.5095796174113457,0.0963078541487523
mfcc1V_sma3nz_amean,-0.18797928477118897,-0.01321297359119574,0.0009258199991949594,-0.018103653630076263,-0.001906612521285602,-0.09386515998497615,-0.14766932534739882,-0.06749257432441573,-0.49030634800282336,0.02115178592451321,1.810756166986571e-05,-0.0020778764186109317,-0.09177096199437508,-0.177935353014376,-0.21400161607641247,-0.029511032330504904,-0.022705096010760092,-0.1283969601872694,-0.0035946438523782385,-0.0018074800135772326,-0.020786376352468317,0.0006480890842884984,0.0009297014114007191,-0.05968005200640544,-0.09351546482618783,0.0097098768593581,-0.006388241081425781,-0.028651496380164333,0.00597198646320654,0.020440563808619337,-0.050828259701679084,-0.015297961115992666,-0.010636294789619312,0.0,0.0027397555871299336,0.03869903369139748,0.00741935810279582,-0.00025954309283681283,-0.2227803753682662,-0.012539240592881864,-0.018250483629650996,0.03463144113463364,0.021460039124791712,-0.036903132932264486,0.00042247792405456836,0.03464287473077674,0.07924611159052217,-0.04999546120957272,0.01756523454899695,0.011927717620033496,-0.04020598719967314,0.09132616696124517,-0.49030634800282336,0.09132616696124517
