,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.036456991621632774,0.043084016936912474,0.029416583015348628,0.015615007621984015,0.01756761962295366,0.0244698572633199,0.0034517431594369135,0.014180553069248106,0.02910899115616239,-0.0031800318984804565,0.022762726453265988,0.08478211714849639,0.029005595037954027,0.12766716059057998,-0.0006415588735875472,0.02000128371271879,0.024399967864288503,0.014329875592569713,0.05197535494530498,0.025915125667279895,-0.005579485111245537,0.03317798018312537,0.014768774153908383,-0.00031550094958495025,0.0031804618986326283,0.016466118187785695,0.005838572939848834,0.010165913904943511,0.023762649631788604,0.03382990822127062,0.041599667343441206,0.09939895042412385,0.07131116784021511,0.027738832423405725,0.011755711831877354,0.07047098276434698,0.1011001691843288,0.033123750166587994,-0.0055433899829514565,0.025506770015698576,-0.003591296743274894,0.011586247974128579,0.05010890197317722,-0.0029956819232042917,0.0705929486780779,0.04901622063547348,0.07299406225433619,0.031610122574733696,0.01564961872237467,0.06368067494624005,0.03161557607741998,0.029813952323406733,-0.005579485111245537,0.12766716059057998
MeanUnvoicedSegmentLength,0.04231283080559698,0.04963471416392269,0.0265001735991751,0.02151801596074628,0.01616254622977862,0.025512698393206055,0.0046906356968597195,0.011356817741144973,0.028050171518214918,-0.002774409579078491,0.03888294581754632,0.07385382561244631,0.028053393860365105,0.07823230436549398,-0.0027058768116808643,0.03565597500813862,0.021595276971712575,0.012900923968725633,0.030938596382744803,0.02189313393649895,-0.005471142379860531,0.021527173104797022,0.012861766029961138,-0.0004232163791902787,0.003067104424113595,0.008769006668528785,0.0031077141251250676,0.014214166126970594,0.033253241908313524,0.026024932021552778,0.04185810417144225,0.041055754193062774,0.07250633290377156,0.023504825709451938,0.010426391646843622,0.03819765461877975,0.0568777117542833,0.0270067094788566,-0.0038652223373439095,0.04285376330019186,-0.0042146134800977696,0.020128672397611,0.05456894506045654,-0.0028482129022050825,0.03775936188651706,0.08119317335229688,0.1033952804059349,0.03150432302060547,0.013227225850681746,0.12578385555955796,0.029802309517651376,0.027773016219234413,-0.005471142379860531,0.12578385555955796
F1frequency_sma3nz_amean,0.04011933944399216,0.020070117429980962,0.024983260282134857,0.00983269283538881,0.0037515836445553828,0.03620360307441245,0.0029817486756545672,0.01302916166722114,0.02328455430639874,-0.004750708444370011,0.013046972072493133,0.0737496081504702,0.0310296948826259,0.046614728583729975,-0.0026945857154527055,0.024952575564069792,0.020952869478788685,0.006232693137375032,0.021761053024853882,0.010448107283608454,-0.010564453207660833,0.021898388389397783,0.017525467326105278,-0.0008592223842958217,0.002903187673266482,0.00783277645145025,0.007062776699937763,0.02645637100200807,0.0228500562698823,0.025752647037955226,0.031228257421324887,0.07255471458431356,0.033129552162267234,0.010439286608966605,0.008479035115986059,0.07386909320030001,0.06496661947100509,0.032465882126348745,-0.004271534665246186,0.015452261032618162,-0.0036256060447056137,0.05300239121288386,0.05915120123544726,-0.001594942499250652,0.05925671638387155,0.03958238757304849,0.0695810175505761,0.04074006725624469,0.008784388120385461,0.02752088086219631,0.02454337466689119,0.022479278144526233,-0.010564453207660833,0.07386909320030001
mfcc1V_sma3nz_amean,0.013367465899583939,0.016950994003679488,0.02434803592226597,0.005372098331387531,0.013011089119967218,0.0094095322204757,0.001655633802897371,0.008198055707595917,0.01572971615683785,-0.002949998199771119,0.02729709933423232,0.06163129861836754,0.024792792795722347,0.08107556630722929,-0.002433676405836461,0.010426390454010457,0.01704119070048999,0.009194183793384793,0.04197676172642568,0.020490341642931606,-0.007684012607081764,0.04726876510395662,0.007387682088472887,-0.0007010168164593551,0.00228847754124362,0.007668969147806745,0.005478182498384498,0.010971717246031229,0.0423158960187858,0.018553333761133224,0.02532053891590524,0.09393888262361814,0.03717301754416788,0.02447950840713005,0.010067226968445772,0.07990330422293587,0.13250315233117693,0.014375171403557024,-0.006378184710460943,0.018618197278911546,-0.0017803819140790383,0.025517683274455444,0.021301340489456574,-0.0032072859104281324,0.04839853066792716,0.014676764048531268,0.012838386147366342,0.0687879002821543,0.024505546415869644,0.05017604440696711,0.024426958176155186,0.02782556256185898,-0.007684012607081764,0.13250315233117693
loudnessPeaksPerSec,0.005208264204502626,0.022980655556729436,0.01659119234062512,0.007607840168661938,0.009745468463772455,0.009445721242536368,0.0006182995798244785,0.008979682181940446,0.0077245261690927014,-0.0012997117160052454,0.031178502567103503,0.06300309125740156,0.012416414515865035,0.016581006001102957,-0.0010917255721320325,0.006282639358425356,0.020166100563959313,0.00888502417810959,0.012544396199110085,0.021508567397559707,-0.001820722517233906,0.021403577495650535,0.007651920140622952,-0.00035728442458578204,0.0028549748013382715,0.009809236846373777,0.0034969914455560257,0.004767451706872254,0.023699821965999786,0.03464202320136226,0.050149931503858595,0.030523444913542024,0.05564622001708913,0.011289414929503354,0.008110508212092237,0.06155915086619253,0.05553557900069031,0.0043437844295549505,-0.003400238135045457,0.009666405023547866,-0.0012945868945868871,0.010088260775395262,0.025160936652356844,-0.0005767481587878418,0.056011475075052615,0.053103441019389235,0.032026404848322663,0.04222460205259187,0.010046397925284386,0.030793115728460555,0.018524628902092916,0.01859074527482287,-0.003400238135045457,0.06300309125740156
