,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.05296194586571569,0.12394625233773547,0.04354495507575109,0.1982743679158684,0.13151566337557719,0.11465106170724586,-0.0836848023384075,0.012723363038025584,0.025752427231620342,0.07662559173153073,0.13237170878783383,0.13395395180250785,0.19699029345550428,0.2322212613270085,0.03293191945273771,0.1241990700494757,0.09978984541050494,0.11156243283520761,0.15185185185185174,0.1203940702798668,0.0342405869642806,0.08347390067902445,0.03259092808487341,-0.012368602715097925,0.019127941991624386,0.06341916185910573,0.0003209644530750058,0.012363205171271844,0.0,0.2603182205193698,0.14423118051358763,0.16733363575478016,0.17077136464075923,0.024337667713736074,0.022897651482900627,0.20334649525558615,0.48615088019609465,0.10753613115771005,-0.025191640184617805,0.09450402211787458,0.04979478371787377,0.13711318337432468,0.2275341440303426,-0.015247045065052733,0.19199000472707367,0.168419252203735,0.300903789113747,0.20437158141066872,0.07936068988157052,0.2847982804341095,0.11102039181354986,0.10096548014240268,-0.0836848023384075,0.48615088019609465
mfcc1V_sma3nz_amean,0.16743502556134815,0.021646488491985368,0.06722463681110756,0.0749828226439442,0.05766114467694928,0.12711352237654316,-0.010186840372472831,0.011147273179424199,0.04082901033179789,0.045523631789026346,0.021727131413790977,0.05082260906478576,0.03479898898245327,0.059869315716921064,0.006063268242825261,0.12627285435246896,0.013362770203047976,0.029880910896815896,0.17454754027334657,0.06819167136789925,0.03481990570371374,0.12148220017030197,0.011240423263091477,-0.011879807036429497,0.02907294613458568,0.0562015638317744,0.000543563196407383,0.004082540995364694,0.15282144437457776,0.09002554278416344,0.06638718140569978,0.11896544257161523,0.14875721014561127,0.008455311703174942,0.003691322548602257,0.041402339897289364,0.01605733557790036,0.03307732060667709,-0.019380246433521525,0.06492076490359457,0.023917905887124852,0.07020087107443423,0.09313055712289,-0.007095475831108019,0.09356045989451159,0.076847171985103,0.06965738038841301,0.042400683900184935,0.05629406876610557,0.0703345910126721,0.05497812593097068,0.04791285126535421,-0.019380246433521525,0.17454754027334657
loudnessPeaksPerSec,0.009321019686760409,0.01162884745277213,0.014783270368141537,0.0,0.009158717293774758,0.008325095120263942,-0.010914958615799527,0.0005551379048351327,0.020637715352883418,0.005227384871081191,0.005083991180122393,0.012075686389759662,0.02625562724507188,0.12044841725962417,0.0028958776011547786,0.01671307833478219,0.042209767550479296,0.024245113168724273,0.07967377604474368,0.07486534925613879,0.011503599490939142,0.04519728008122093,0.006870092620934378,-0.001263038253377042,0.013333029960065119,0.0067282637849363355,0.00022134091910804585,0.0014297004445870025,0.07911211135552636,0.009758407833120483,0.030992634080596982,0.09192857214296243,0.019838496209219757,0.002894920843638792,0.003465091528309932,0.09376475726608625,0.04350569791557137,0.015744506424064077,-0.0007430477098186522,0.0,0.00314791095103169,0.021783405693064875,0.04340295064555743,0.0,0.011403284694232973,0.07371788917765928,0.19375229661451995,0.03666823338737373,0.08141089318016136,0.02831154667215224,0.028821394828375185,0.03831956381972651,-0.010914958615799527,0.19375229661451995
F1frequency_sma3nz_amean,0.043800557149102096,0.005004781090392543,0.01967865091816555,0.022629460841049394,0.0028827406097520995,0.07364757746067614,-0.02857162156544867,0.007606645871856319,0.03672327996237533,0.019828479503775226,0.0034658122451572703,0.0523039158829676,0.00877996885281753,0.019395390642421278,0.0007816688632471743,0.004229793833242106,0.036357697006568476,0.01944860668613656,0.04935454330615616,0.0031045248149432656,0.034874078018977746,0.06107812875264733,0.009670526021432759,-0.009161917488068801,0.0008165296028563863,0.0024072881743577397,4.2406989509591e-05,0.0048320130095576685,0.07370933301905142,0.0,0.02873756169242275,0.07200992177671955,0.007188714752056356,0.010299110512785722,0.0012526961827728155,0.10065097546437257,0.04266663453556382,0.07304666969319101,-0.01631063321617039,0.002624596246479173,0.014582721687513647,0.03879221410437379,0.02592643842804913,-0.007039579283353234,0.013709409364581775,0.06173663990330657,0.019647131933749413,0.028540647539090563,0.08493261684250605,0.039933639744516705,0.02443297975960406,0.027990213519259295,-0.02857162156544867,0.10065097546437257
MeanUnvoicedSegmentLength,0.0025591721256403824,0.040913370745713495,0.03231816329578803,0.11299186073196041,0.020146791187739474,0.01618827527193788,-0.028448860084513417,0.0019328818128558495,0.004973351190217563,0.0,0.017300498881068136,0.010205158699059568,0.062186237391040455,0.043995235561231735,0.007809549745824269,0.017375151593204328,0.01575176896791477,0.01936609473870526,0.09864852889046433,0.028842102155694205,0.014558376348675621,0.010238873059540186,0.006644863236495948,-0.001321155818197875,0.009735171395960371,0.014074184876504062,0.00030865126957628383,0.00427244050469864,0.0,0.0,0.016127319311347057,0.06692054294303197,0.001987959806600684,0.0063587378117292625,0.005297963672484771,0.09267966390826571,0.0500577188205789,0.02260376488637804,-0.0012366260637242986,0.031050282633915342,0.00359025945443067,0.020657670964587673,0.08872655045179367,-0.0024415612059290243,0.0074460740409016445,0.05677734983194756,0.0368648247217794,0.05506427536721139,0.02348391149427733,0.03298894777962998,0.02397144736812075,0.028881327891681918,-0.028448860084513417,0.11299186073196041
