,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.0859509808355123,0.052257603453613966,0.07999477926149182,0.1576294170064902,0.00377593615486493,0.11415559787877783,-0.12130678608892112,-0.022884110961559356,0.0637764096564024,0.02891553847132358,0.08426281728039613,0.08742907772304313,0.09680329112968884,0.20442313907044293,-0.009546744374268105,0.02748671733486924,0.03544738361830645,0.010815290469188275,0.12511941998165105,0.06993353468921065,0.008635411627449347,0.1422791239022326,0.044023177370014155,-0.0723626465827266,0.009716256109790558,0.04157070795491548,-0.04168260242146384,0.011540680446847138,0.15975081895860965,0.13837707776802183,0.04914424202606658,0.29573191576149915,0.06925695001688807,0.009199983972211709,0.03905914010270937,0.19481579186036016,0.27984692377243003,0.006978714382414867,-0.0612692907645408,0.04196569862439814,-0.01692357696456399,0.0683151751771936,0.17206749689720774,-0.06933495291113463,0.08996811868686869,0.22144856210573155,0.32871491758706345,0.1134891379477896,0.10832132246691457,0.19971513382672373,0.07513597404596893,0.09423065612163724,-0.12130678608892112,0.32871491758706345
mfcc1V_sma3nz_amean,0.07438903076266898,0.03934419751027609,0.05216195403806304,0.05176834435892836,0.0013921214110023084,0.0724545501681516,-0.052200480558021074,-0.010485717750368505,0.03462026058444903,0.03286511086097861,0.077666323191662,0.02339125615763541,0.042470267627274016,0.08273060595247031,-0.005026248593685921,0.03594912102772144,0.03308703061839253,0.0217018128476461,0.10816128117203375,0.047555723208153676,0.003794120631065821,0.06464195440811672,0.01917213102136014,-0.04938264439881737,0.005683795724971292,0.026976056150444506,-0.02225514860898834,0.003818027127022089,0.10125860047358166,0.06773483404950684,0.05974213454170333,0.06840716997520672,0.056705886908515524,0.004173698705725408,0.017453777257553354,0.0965748109603327,0.038492962256919165,0.005770421394437818,-0.058811144414671,0.05878249150964335,-0.007849287892929277,0.12430355457965174,0.15497420580730636,-0.028991164760862758,0.10448516414141415,0.10036483015016054,0.13553140686473997,0.11120335134570448,0.054916047071371966,0.1486440288284156,0.044606252328080694,0.05005831825584942,-0.058811144414671,0.15497420580730636
MeanUnvoicedSegmentLength,0.020474941100213417,0.009045280528726328,0.025482643429298603,0.05040130416638661,0.0008988447655030457,0.03880084070888665,-0.03767585345371195,-0.005748748904026044,0.013987852944279964,0.009104025374686532,0.023865095612714368,0.008296466201423087,0.03480857781697563,0.04570918768103241,-0.004016723048283258,0.009713778018657446,0.007175193343428092,0.005444457163207146,0.041253927399760706,0.02003255172215659,0.002971754112538715,0.03219631863373271,0.017328921323817657,-0.015881222421697407,0.0032467176925406152,0.01122434760086727,-0.002803050440610247,0.003560570707478206,0.03707832469463308,0.024187123510004273,0.06380911169237306,0.045479343507015706,0.011239220372008201,0.00233033638167173,0.010307610230689058,0.064480505629274,0.03151118995266144,0.0024147006577359765,-0.014161913603853904,0.016853591909040587,-0.00532151763520766,0.09766773032695253,0.03600506957097311,-0.011520089354599281,0.011704229797979807,0.07144826942799645,0.11118080110317548,0.09054651429235011,0.011450011940713812,0.06418636271845082,0.022835490538040425,0.029621685614150933,-0.03767585345371195,0.11118080110317548
F1frequency_sma3nz_amean,0.018762230184888123,0.007957331719956658,0.006141237687051636,0.04327124424913922,0.0003275325788751693,0.040832222658850996,-0.0345310300617732,-0.010459151580838892,0.011743412327471881,0.01708741403989338,0.018236345282288763,0.00639502257799672,0.025983961977732124,0.038754140894331296,-0.001660835268416183,0.013831911010466345,0.007257087473541305,0.005541417556706514,0.03485190038953476,0.010890527865661543,0.001623101693284462,0.011255951751137451,0.012535858675358936,-0.0220388720080157,0.0018625263712794403,0.008163650659099415,-0.0030925166039038185,0.002733431133465405,0.04034593635284922,0.04174334841067118,0.017909598397026525,0.017067902500005245,0.0112400826771679,0.0027053070942537135,0.010967840808518755,0.07340174442159195,0.02453735814996118,0.003113092249550246,-0.020341019234797916,0.010766930546051396,-0.003885772290333655,0.04565522158240783,0.04175565990351868,-0.021480964964110803,0.0,0.03171562050098685,0.049784083496412224,0.04261006548613977,0.013541699896853509,0.025699458853194492,0.014662205001459639,0.020596071414182387,-0.0345310300617732,0.07340174442159195
loudnessPeaksPerSec,0.011861453603283651,0.004365192262953157,0.009986865476200995,0.02569625792610516,0.0005579381740456897,0.021101295150145697,-0.017418726521244057,-0.003266667874046167,0.004595371896252436,0.006929967415504604,0.019682874879801665,0.010885632183908034,0.019803055652884035,0.00434054916985951,-0.003326436416941181,0.0067444219066937145,0.009418878705673032,0.004712066016669492,0.019989017354608715,0.015815047292832594,0.00017038843092482718,0.02758069888743893,0.010427736160112552,-0.01116768998004103,0.0020687991520181733,0.014027140192739563,-0.016418707014928122,0.0015749160966017136,0.023848660697611105,0.0121387832255747,0.08098823046631932,0.0336269410091436,0.017694225288774585,0.0012910887945573662,0.009137686346944743,0.024870228959808942,0.010324723459977909,0.0007602168477511212,-0.009561749326454516,0.016055926030284953,-0.0040155193257838725,0.067795095710754,0.03438740512745084,-7.803008756428663e-05,0.0086579335016835,0.01854898358585858,0.03740112399016504,0.057112296979077,0.014277600845494112,0.02272693781314469,0.013574522522412617,0.018552914897420055,-0.017418726521244057,0.08098823046631932
