,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.0612007120832223,0.03334827985513152,0.06702051790542346,0.11012062052170506,0.002372737082998765,0.09205567352585434,-0.07253749666590457,-0.01772480210541079,0.05252011850666646,0.02712340474431077,0.056010454917019975,0.04558423503445301,0.0699681687476991,0.1050260921817707,-0.009142746477750902,0.029431587009225695,0.018916946206442683,0.015461267589963764,0.09460386799200281,0.04511326961855374,0.005840211652389065,0.09398932835680836,0.03893694069683767,-0.0678033667194943,0.009867672065577808,0.03085085710428489,-0.036076622895026215,0.009309393500960736,0.08528917249433024,0.07853811992061475,0.07915490151291854,0.16158213208530106,0.03514803091183475,0.006130823108481238,0.017030726935148073,0.10042698563810168,0.15771546876781123,0.005487823164317353,-0.04659825422764763,0.035940614640963674,-0.01232428334133656,0.11008543803194899,0.11591151348118392,-0.04844718999723314,0.07377189345142245,0.146689548011454,0.14934877460389043,0.11222584876265485,0.06841117594733229,0.11292427398524733,0.049116617198489115,0.057039147340465404,-0.07253749666590457,0.16158213208530106
mfcc1V_sma3nz_amean,0.05298663573128584,0.02702439575852436,0.03332495353217585,0.051783618646412045,0.0017720697676585485,0.04992647954080962,-0.05596251365391453,-0.012653267761061345,0.032569999883736704,0.01612564878749451,0.03352259576276267,0.025068746194570626,0.04222818463259516,0.05503736202648179,-0.005578239856629614,0.02747151509566703,0.01633147788746742,0.012013976988775328,0.061379582221411655,0.03850335756677339,0.0041467438998609,0.052750039549431436,0.018194897183882657,-0.06350242211665433,0.006562570559522818,0.019923680008844893,-0.02065462554179817,0.0056723363916420366,0.05282778362107067,0.04738600334714764,0.06215276192269472,0.09497103291901464,0.035970215251511534,0.0033111218574777947,0.011123611227438324,0.07275687175337454,0.07854072157269391,0.004440002518605557,-0.03073538656384482,0.024286324185037074,-0.00941217170480473,0.08096386203469749,0.0692922569302991,-0.023099450983905114,0.055784317815839576,0.07260496286141932,0.12509381073730802,0.07309849031964076,0.04098093542697931,0.07187934710010253,0.03080374445675054,0.037049214668208354,-0.06350242211665433,0.12509381073730802
MeanUnvoicedSegmentLength,0.0210546042130404,0.008832795176101506,0.019468525473684224,0.04050827336078017,0.0009537141388381384,0.02839117139272592,-0.03060052218284817,-0.005490351453370355,0.01570319884746061,0.006656108249695641,0.022567823493434884,0.01848355376978822,0.022777400274509207,0.0336800874354204,-0.003180178500806453,0.010968753666085278,0.006113942079653869,0.004756414939546643,0.030889881781841284,0.012241062626192794,0.0021586858008207236,0.03402027075942956,0.013262713645226696,-0.02897085522496942,0.002414136461789801,0.008767395122058388,-0.0018460653944593248,0.004201775064926105,0.015691365923592812,0.020347818375460132,0.0352978060767811,0.05269543074212623,0.007840635562753977,0.0018317605709480926,0.005256075754461137,0.04978648263827357,0.048640664318043925,0.0023726917817359842,-0.011254283177744047,0.011572491013239044,-0.003921366620343435,0.03830249212386886,0.034016511760289234,-0.0141110617236019,0.02277109256819403,0.04018852288085633,0.05248377690733518,0.04563421470074848,0.0245267887822604,0.03391114075411251,0.016253307334599766,0.019454512380324758,-0.03060052218284817,0.05269543074212623
F1frequency_sma3nz_amean,0.03186904946143625,0.0037986773135372425,0.01719342374758444,0.03893470102638162,0.0006896152000671761,0.045621859605591765,-0.03301168441675557,-0.00969993590480187,0.017795741989953817,0.011418631377691679,0.009345048446856056,0.019028857962814436,0.020761199321171448,0.026288843273645904,-0.001677886784953297,0.01287004331393014,0.0120412058042266,0.0053050685611169286,0.03344503832693904,0.004205676494158525,0.002153473902368471,0.028340125110269197,0.013248554411690587,-0.03738875942655309,0.0014634567320660262,0.005469480944873294,-0.0013653977695421873,0.0035797456902380365,0.027482030582173682,0.016813240333620555,0.024613373066553073,0.05424137995155686,0.015536321734375969,0.0021843159937544004,0.005859579211646032,0.06334983244414726,0.05804203937757465,0.0029190688042100917,-0.024500294464282545,0.007395074706308378,-0.005054999429351412,0.03406989864821818,0.03732791585876182,-0.02713822871088279,0.014781150880788557,0.02674626394276056,0.054009863582246444,0.045791152291561575,0.03408848210752952,0.049403913012629454,0.01599370455283806,0.022369807979737956,-0.03738875942655309,0.06334983244414726
loudnessPeaksPerSec,0.01237100306338988,0.003639257019343706,0.009641616564501933,0.024479944895305104,0.0007491674008869878,0.01596369856615756,-0.026766923709546295,-0.002406668037805688,0.008597336755952633,0.0049254653536104425,0.013093766401559962,0.006938167992069852,0.01670491968778045,0.007704623629352824,-0.0019255064089345806,0.009305139680393234,0.005013142319999942,0.004310174137123046,0.014138629216651752,0.010136361642676828,0.0005601496222247082,0.021068167131875246,0.009618489860756849,-0.01405336446761938,0.0026686119737936655,0.008973434874247373,-0.009353277631425232,0.001991453438657111,0.013113497895583037,0.016436529336268005,0.017201799702000812,0.028422118134577613,0.0113139395402136,0.0009095396130043415,0.006315647454482439,0.02008330469321961,0.020037935825240768,0.0008690391154754231,-0.008888140038123011,0.010462470482162669,-0.00293622871242244,0.02271910793781336,0.024194180559218556,0.0,0.007074827380081004,0.015193177840037838,0.03400760611694145,0.028970812939903626,0.027027910105594327,0.021022100239054244,0.009432763142666145,0.011542407809226074,-0.026766923709546295,0.03400760611694145
